Month,Ticker,ESG_Rating,ESG_Score
1,A,AAA,8.8
1,AAL,CCC,0.7
1,AAON,A,5.8
1,AAP,BBB,4.6
1,AAPL,A,6.4
1,AAT,BB,3.2
1,AAWW,B,1.8
1,AAXN,BBB,5.6
1,ABBV,A,6.8
1,ABC,BBB,4.6
1,ABCB,BBB,4.6
1,ABG,BBB,4.4
1,ABM,A,7.1
1,ABMD,A,5.8
1,ABT,BBB,5.5
1,ABTX,BB,3.3
1,ACA,BBB,5.4
1,ACC,BBB,5.1
1,ACHC,BBB,4.6
1,ACIW,A,7.1
1,ACLS,B,2.6
1,ACM,AA,7.4
1,ACN,AAA,10
1,ADBE,AA,8.2
1,ADC,BB,3
1,ADI,BBB,4.8
1,ADM,BBB,4.9
1,ADNT,B,1.7
1,ADP,A,6.8
1,ADS,BB,3.5
1,ADSK,AA,7.9
1,ADTN,A,6.8
1,ADUS,A,6.9
1,AEE,BBB,5.5
1,AEGN,A,6.7
1,AEIS,B,2.6
1,AEL,B,1.9
1,AEO,A,6.9
1,AEP,A,7
1,AES,AA,7.2
1,AFG,BB,3.3
1,AFL,BB,4.2
1,AGCO,BBB,4.9
1,AGO,B,2.1
1,AGYS,B,2.6
1,AHH,BB,3.8
1,AIG,BB,3.3
1,AIN,BB,4.2
1,AIR,BBB,5.6
1,AIT,BB,3.5
1,AIV,B,2.4
1,AIZ,BB,3.5
1,AJG,BBB,5.1
1,AJRD,A,6.3
1,AKAM,BBB,5
1,AKR,B,2.2
1,ALB,BB,3.3
1,ALE,BB,4
1,ALEX,BBB,5.7
1,ALG,BBB,5.7
1,ALGN,A,6.1
1,ALGT,BB,4.1
1,ALL,BBB,5.6
1,ALLE,AA,7.3
1,ALRM,B,2.6
1,ALXN,B,2
1,AM,BB,4.2
1,AMAT,AA,8.4
1,AMBC,B,2.6
1,AMCX,B,1.6
1,AMD,BBB,4.5
1,AME,B,2.8
1,AMED,A,6.3
1,AMG,BBB,5.6
1,AMGN,AA,8.4
1,AMN,AA,8
1,AMP,BBB,5.6
1,AMPH,BB,3.3
1,AMSF,B,2.1
1,AMT,A,6.4
1,AMWD,BB,3.3
1,AMZN,BB,4.1
1,AN,BBB,5.4
1,ANDE,BB,4.2
1,ANET,BBB,5.2
1,ANF,B,2.3
1,ANGO,BBB,5.2
1,ANIK,BB,4
1,ANIP,BB,3.6
1,ANSS,A,6.2
1,ANTM,BB,4
1,AON,BB,4
1,AOS,BB,3.9
1,APA,BBB,4.9
1,APD,BBB,4.7
1,APEI,A,6.2
1,APH,BBB,5.2
1,APOG,BB,4.2
1,APTV,A,7
1,ARCB,A,5.8
1,ARE,A,6.5
1,ARI,BB,2.9
1,AROC,BBB,4.3
1,ARR,B,2.4
1,ARW,BBB,4.3
1,ARWR,B,2.4
1,ASB,BB,3.3
1,ASGN,BBB,4.5
1,ASH,B,2.1
1,ASIX,B,1.7
1,ASTE,BBB,5.4
1,ATGE,B,1.9
1,ATI,B,2.6
1,ATNI,B,1.5
1,ATO,BB,3.8
1,ATR,A,6.4
1,ATVI,BBB,5.2
1,AVA,A,7
1,AVAV,BBB,5.6
1,AVB,BBB,5.1
1,AVD,B,2.1
1,AVGO,B,1.6
1,AVNS,BB,3.9
1,AVNT,BB,3.3
1,AVT,A,6.5
1,AVY,BBB,5.6
1,AWK,BBB,5.1
1,AWR,BB,3.4
1,AX,B,1.7
1,AXL,BBB,4.3
1,AXP,AA,8.4
1,AYI,A,6.9
1,AZO,B,1.8
1,AZZ,B,1.6
1,B,A,6.1
1,BA,BB,3.1
1,BAC,BB,4.2
1,BANC,B,2.5
1,BANF,BBB,4.6
1,BANR,BBB,4.6
1,BAX,BB,4.2
1,BBBY,B,2.1
1,BBY,AAA,10
1,BC,BB,3.5
1,BCC,AAA,10
1,BCEI,B,2.8
1,BCO,BB,3.1
